size,simple,medium,complex,adaptive
100,1467.26,687.96,1084.00,684.34
250,8345.78,2781.10,3017.00,2804.38
500,32142.30,7030.72,6784.00,6784.00
1000,127737.20,19339.40,15068.00,15068.00
