size,simple,medium,complex,adaptive
100,1455.22,690.88,1084.00,903.98
250,8306.70,2787.84,3017.00,2899.72
500,32226.42,7086.84,6784.00,6915.28
1000,127284.86,19332.10,15068.00,17068.12
