size,simple,medium,complex,adaptive
3,1.34,1.34,1.22,1.32
5,9.00,8.28,8.64,8.52
8,23.88,23.38,24.14,24.08
10,33.58,34.54,65.00,47.68
12,43.08,43.32,76.00,56.76
15,59.40,56.26,92.00,75.96
25,128.34,101.68,196.00,142.04
50,416.54,258.16,467.00,327.54
100,1432.44,695.02,1084.00,843.18
250,8451.56,2781.74,3017.00,2906.64
500,32040.76,7086.62,6784.00,6886.56
1000,127516.04,19380.36,15068.00,16729.78
