size,simple,medium,complex,adaptive
8,23.36,24.30,24.06,24.72
10,33.38,34.96,65.00,33.44
12,42.14,43.06,76.00,42.68
15,58.32,55.32,92.00,55.74
25,129.58,101.90,196.00,101.78
