size,simple,medium,complex,adaptive
400,,5128.42,5536.00,5327.44
420,,5571.34,5800.00,5659.80
440,,5934.94,6052.00,5988.56
460,,6212.02,6304.00,6290.20
480,,6685.24,6544.00,6541.00
500,,7004.94,6784.00,6911.10
