size,simple,medium,complex,adaptive
8,24.10,23.88,23.86,24.12
10,33.62,34.20,65.00,33.26
12,43.30,42.78,76.00,62.06
15,58.94,55.46,92.00,74.32
25,129.84,101.74,196.00,140.68
50,414.08,258.70,467.00,352.82
100,1455.22,690.88,1084.00,903.98
250,8306.70,2787.84,3017.00,2899.72
500,32226.42,7086.84,6784.00,6915.28
1000,127284.86,19332.10,15068.00,17068.12
