size,simple,medium,complex,adaptive
3,6.36,7.02,8.60,8.00
5,12.92,14.80,24.50,20.96
8,24.50,25.98,36.00,30.80
10,32.56,35.24,65.00,51.32
12,44.08,43.16,76.00,62.02
15,59.00,54.94,92.00,72.66
25,130.84,101.80,196.00,158.92
50,420.90,261.88,467.00,378.48
100,1454.14,678.36,1084.00,931.52
250,8285.60,2757.80,3017.00,2913.22
500,32078.86,7029.56,6784.00,6914.78
1000,126897.26,19343.00,15068.00,17776.40
