size,simple,medium,complex,adaptive
8,24.10,23.88,23.86,24.12
10,33.62,34.20,65.00,33.26
12,43.30,42.78,76.00,62.06
15,58.94,55.46,92.00,74.32
25,129.84,101.74,196.00,140.68
