size,simple,medium,complex,adaptive
8,23.36,24.30,24.06,24.72
10,33.38,34.96,65.00,33.44
12,42.14,43.06,76.00,42.68
15,58.32,55.32,92.00,55.74
25,129.58,101.90,196.00,101.78
50,413.34,255.88,467.00,259.14
100,1467.26,687.96,1084.00,684.34
250,8345.78,2781.10,3017.00,2804.38
500,32142.30,7030.72,6784.00,6784.00
1000,127737.20,19339.40,15068.00,15068.00
