size,simple,medium,complex,adaptive
400,,5215.98,5536.00,5167.80
420,,5546.12,5800.00,5546.70
440,,5895.04,6052.00,5917.18
460,,6303.60,6304.00,6309.78
480,,6700.54,6544.00,6544.00
500,,7103.04,6784.00,6784.00
