size,algo,trial,ops,disorder,strategy
2000,--simple,30,516727,49.48,Simple / O(n^2)
2000,--simple,31,507344,49.45,Simple / O(n^2)
2000,--simple,32,494392,50.28,Simple / O(n^2)
2000,--simple,33,518575,51.7,Simple / O(n^2)
2000,--simple,34,496754,51.5,Simple / O(n^2)
2000,--simple,35,503449,50.70,Simple / O(n^2)
2000,--simple,36,511006,50.85,Simple / O(n^2)
2000,--simple,37,500087,50.22,Simple / O(n^2)
2000,--simple,38,501495,50.87,Simple / O(n^2)
2000,--simple,39,503704,51.9,Simple / O(n^2)
2000,--simple,40,495707,50.39,Simple / O(n^2)
2000,--simple,41,506129,50.85,Simple / O(n^2)
2000,--simple,42,503948,48.31,Simple / O(n^2)
2000,--simple,43,496549,49.46,Simple / O(n^2)
2000,--simple,44,496161,49.55,Simple / O(n^2)
2000,--simple,45,504258,49.46,Simple / O(n^2)
2000,--simple,46,498769,48.23,Simple / O(n^2)
2000,--simple,47,503837,50.70,Simple / O(n^2)
2000,--simple,48,503158,49.93,Simple / O(n^2)
2000,--simple,49,512938,51.2,Simple / O(n^2)
2000,--simple,50,498584,49.2,Simple / O(n^2)
2000,--intermediate,1,56306,49.22,Intermediate / O(n√n)
2000,--intermediate,2,57830,49.81,Intermediate / O(n√n)
2000,--intermediate,3,55082,49.26,Intermediate / O(n√n)
2000,--intermediate,4,57358,48.81,Intermediate / O(n√n)
2000,--intermediate,5,56194,49.80,Intermediate / O(n√n)
2000,--intermediate,6,56393,49.75,Intermediate / O(n√n)
2000,--intermediate,7,55159,49.84,Intermediate / O(n√n)
2000,--intermediate,8,60208,48.57,Intermediate / O(n√n)
2000,--intermediate,9,60641,49.86,Intermediate / O(n√n)
2000,--intermediate,10,55365,51.6,Intermediate / O(n√n)
2000,--intermediate,11,60611,48.97,Intermediate / O(n√n)
2000,--intermediate,12,56531,49.2,Intermediate / O(n√n)
2000,--intermediate,13,59787,49.67,Intermediate / O(n√n)
2000,--intermediate,14,58742,49.92,Intermediate / O(n√n)
2000,--intermediate,15,57626,49.5,Intermediate / O(n√n)
2000,--intermediate,16,56487,48.79,Intermediate / O(n√n)
2000,--intermediate,17,57013,50.70,Intermediate / O(n√n)
2000,--intermediate,18,56091,50.19,Intermediate / O(n√n)
2000,--intermediate,19,57680,49.31,Intermediate / O(n√n)
2000,--intermediate,20,55348,51.22,Intermediate / O(n√n)
2000,--intermediate,21,58126,50.64,Intermediate / O(n√n)
2000,--intermediate,22,56097,50.48,Intermediate / O(n√n)
2000,--intermediate,23,59378,50.39,Intermediate / O(n√n)
2000,--intermediate,24,57645,49.45,Intermediate / O(n√n)
2000,--intermediate,25,61508,49.23,Intermediate / O(n√n)
2000,--intermediate,26,57960,50.62,Intermediate / O(n√n)
2000,--intermediate,27,57806,51.11,Intermediate / O(n√n)
2000,--intermediate,28,60643,50.30,Intermediate / O(n√n)
2000,--intermediate,29,55618,49.67,Intermediate / O(n√n)
2000,--intermediate,30,57998,49.11,Intermediate / O(n√n)
2000,--intermediate,31,57178,49.48,Intermediate / O(n√n)
2000,--intermediate,32,56444,50.27,Intermediate / O(n√n)
2000,--intermediate,33,60313,48.56,Intermediate / O(n√n)
2000,--intermediate,34,59082,49.44,Intermediate / O(n√n)
2000,--intermediate,35,56929,49.73,Intermediate / O(n√n)
2000,--intermediate,36,57159,49.77,Intermediate / O(n√n)
2000,--intermediate,37,56757,50.16,Intermediate / O(n√n)
2000,--intermediate,38,56465,50.27,Intermediate / O(n√n)
2000,--intermediate,39,62506,50.58,Intermediate / O(n√n)
2000,--intermediate,40,55484,50.52,Intermediate / O(n√n)
2000,--intermediate,41,57381,50.62,Intermediate / O(n√n)
2000,--intermediate,42,57167,48.80,Intermediate / O(n√n)
2000,--intermediate,43,55118,49.95,Intermediate / O(n√n)
2000,--intermediate,44,58724,49.33,Intermediate / O(n√n)
2000,--intermediate,45,54303,48.82,Intermediate / O(n√n)
2000,--intermediate,46,64795,50.77,Intermediate / O(n√n)
2000,--intermediate,47,54672,49.2,Intermediate / O(n√n)
2000,--intermediate,48,56906,51.62,Intermediate / O(n√n)
2000,--intermediate,49,55462,48.59,Intermediate / O(n√n)
2000,--intermediate,50,56263,48.97,Intermediate / O(n√n)
2000,--complex,1,33136,50.12,Complex / O(n log n)
2000,--complex,2,33136,49.92,Complex / O(n log n)
2000,--complex,3,33136,49.20,Complex / O(n log n)
2000,--complex,4,33136,50.33,Complex / O(n log n)
2000,--complex,5,33136,49.87,Complex / O(n log n)
2000,--complex,6,33136,49.84,Complex / O(n log n)
2000,--complex,7,33136,51.20,Complex / O(n log n)
2000,--complex,8,33136,50.33,Complex / O(n log n)
2000,--complex,9,33136,49.83,Complex / O(n log n)
2000,--complex,10,33136,50.59,Complex / O(n log n)
2000,--complex,11,33136,49.94,Complex / O(n log n)
2000,--complex,12,33136,49.62,Complex / O(n log n)
2000,--complex,13,33136,50.87,Complex / O(n log n)
2000,--complex,14,33136,49.8,Complex / O(n log n)
2000,--complex,15,33136,50.29,Complex / O(n log n)
2000,--complex,16,33136,50.33,Complex / O(n log n)
2000,--complex,17,33136,49.29,Complex / O(n log n)
2000,--complex,18,33136,49.60,Complex / O(n log n)
2000,--complex,19,33136,49.2,Complex / O(n log n)
2000,--complex,20,33136,49.63,Complex / O(n log n)
2000,--complex,21,33136,50.1,Complex / O(n log n)
2000,--complex,22,33136,48.92,Complex / O(n log n)
2000,--complex,23,33136,49.78,Complex / O(n log n)
2000,--complex,24,33136,49.84,Complex / O(n log n)
2000,--complex,25,33136,49.52,Complex / O(n log n)
2000,--complex,26,33136,49.66,Complex / O(n log n)
2000,--complex,27,33136,51.12,Complex / O(n log n)
2000,--complex,28,33136,50.42,Complex / O(n log n)
2000,--complex,29,33136,50.73,Complex / O(n log n)
2000,--complex,30,33136,49.87,Complex / O(n log n)
2000,--complex,31,33136,50.99,Complex / O(n log n)
2000,--complex,32,33136,49.79,Complex / O(n log n)
2000,--complex,33,33136,51.5,Complex / O(n log n)
2000,--complex,34,33136,50.23,Complex / O(n log n)
2000,--complex,35,33136,50.12,Complex / O(n log n)
2000,--complex,36,33136,51.94,Complex / O(n log n)
2000,--complex,37,33136,49.83,Complex / O(n log n)
2000,--complex,38,33136,51.51,Complex / O(n log n)
2000,--complex,39,33136,52.7,Complex / O(n log n)
2000,--complex,40,33136,50.81,Complex / O(n log n)
2000,--complex,41,33136,50.6,Complex / O(n log n)
2000,--complex,42,33136,50.39,Complex / O(n log n)
2000,--complex,43,33136,49.35,Complex / O(n log n)
2000,--complex,44,33136,50.74,Complex / O(n log n)
2000,--complex,45,33136,49.84,Complex / O(n log n)
2000,--complex,46,33136,50.13,Complex / O(n log n)
2000,--complex,47,33136,50.29,Complex / O(n log n)
2000,--complex,48,33136,50.27,Complex / O(n log n)
2000,--complex,49,33136,49.40,Complex / O(n log n)
2000,--complex,50,33136,48.82,Complex / O(n log n)
2000,--adaptative,1,33136,49.54,Adaptative / O(n log n)
2000,--adaptative,2,33136,51.9,Adaptative / O(n log n)
2000,--adaptative,3,33136,50.25,Adaptative / O(n log n)
2000,--adaptative,4,33136,49.27,Adaptative / O(n log n)
2000,--adaptative,5,33136,50.24,Adaptative / O(n log n)
2000,--adaptative,6,33136,50.66,Adaptative / O(n log n)
2000,--adaptative,7,33136,50.39,Adaptative / O(n log n)
2000,--adaptative,8,33136,49.97,Adaptative / O(n log n)
2000,--adaptative,9,33136,49.78,Adaptative / O(n log n)
2000,--adaptative,10,33136,49.24,Adaptative / O(n log n)
2000,--adaptative,11,33136,50.20,Adaptative / O(n log n)
2000,--adaptative,12,33136,48.77,Adaptative / O(n log n)
2000,--adaptative,13,33136,50.5,Adaptative / O(n log n)
2000,--adaptative,14,33136,49.93,Adaptative / O(n log n)
2000,--adaptative,15,33136,50.1,Adaptative / O(n log n)
2000,--adaptative,16,33136,49.31,Adaptative / O(n log n)
2000,--adaptative,17,33136,49.70,Adaptative / O(n log n)
2000,--adaptative,18,33136,49.23,Adaptative / O(n log n)
2000,--adaptative,19,33136,50.26,Adaptative / O(n log n)
2000,--adaptative,20,33136,50.49,Adaptative / O(n log n)
2000,--adaptative,21,33136,50.19,Adaptative / O(n log n)
2000,--adaptative,22,33136,50.84,Adaptative / O(n log n)
2000,--adaptative,23,33136,49.8,Adaptative / O(n log n)
2000,--adaptative,24,33136,49.18,Adaptative / O(n log n)
2000,--adaptative,25,33136,49.23,Adaptative / O(n log n)
2000,--adaptative,26,33136,50.32,Adaptative / O(n log n)
2000,--adaptative,27,33136,49.33,Adaptative / O(n log n)
2000,--adaptative,28,33136,49.32,Adaptative / O(n log n)
2000,--adaptative,29,33136,48.79,Adaptative / O(n log n)
2000,--adaptative,30,33136,50.3,Adaptative / O(n log n)
2000,--adaptative,31,33136,49.66,Adaptative / O(n log n)
2000,--adaptative,32,33136,50.8,Adaptative / O(n log n)
2000,--adaptative,33,33136,50.64,Adaptative / O(n log n)
2000,--adaptative,34,33136,50.10,Adaptative / O(n log n)
2000,--adaptative,35,33136,50.19,Adaptative / O(n log n)
2000,--adaptative,36,33136,50.34,Adaptative / O(n log n)
2000,--adaptative,37,33136,48.58,Adaptative / O(n log n)
2000,--adaptative,38,33136,51.3,Adaptative / O(n log n)
2000,--adaptative,39,33136,50.39,Adaptative / O(n log n)
2000,--adaptative,40,33136,50.10,Adaptative / O(n log n)
2000,--adaptative,41,33136,51.33,Adaptative / O(n log n)
2000,--adaptative,42,33136,49.89,Adaptative / O(n log n)
2000,--adaptative,43,33136,50.64,Adaptative / O(n log n)
2000,--adaptative,44,33136,49.96,Adaptative / O(n log n)
2000,--adaptative,45,33136,50.44,Adaptative / O(n log n)
2000,--adaptative,46,33136,50.11,Adaptative / O(n log n)
2000,--adaptative,47,33136,49.95,Adaptative / O(n log n)
2000,--adaptative,48,33136,49.86,Adaptative / O(n log n)
2000,--adaptative,49,33136,49.43,Adaptative / O(n log n)
2000,--adaptative,50,33136,49.88,Adaptative / O(n log n)
