size,simple,intermediate,complex,adaptative
8,23.40,23.38,24.86,23.68
10,32.54,33.36,65.00,34.06
12,42.78,42.86,76.00,44.26
15,59.04,56.02,92.00,57.06
25,131.74,101.54,196.00,102.08
50,410.76,261.12,467.00,259.00
100,1465.88,699.58,1084.00,686.40
250,8384.16,2839.88,3017.00,2819.28
500,32201.00,7093.80,6784.00,6784.00
1000,127221.44,19325.52,15068.00,15068.00
1500,283465.08,36300.78,25336.00,25336.00
2000,504682.66,57566.78,33136.00,33136.00
