size,simple,intermediate,complex,adaptative
5,8.06,8.76,9.16,8.86
10,32.8,34.38,65,33.42
15,58.58,55.6,92,55.32
25,130.48,101.88,196,103
50,423.28,260.46,467,261.88
100,1459.42,695.87,1084,687.33
250,8319.54,2815.98,3017,2813.91
500,32407.27,7038.61,6784,6879.11
1000,126667.39,19368.61,15068,17228.32
